"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16975","should go to Checkout button and verify the product names and their total price","","Mon Jun 23 20:03:44 BDT 2025","passed","Mon Jun 23 20:04:01 BDT 2025","","Test Successful Order Placement Funtionalities with standard_user","",""
"","3175","should finish purchase process and verify the successful order message","","Mon Jun 23 20:04:59 BDT 2025","passed","Mon Jun 23 20:05:02 BDT 2025","","Test Successful Order Placement Funtionalities with performance_glitch_user","",""
"","9297","should filter products by Name (Z to A)","","Mon Jun 23 20:04:29 BDT 2025","passed","Mon Jun 23 20:04:38 BDT 2025","","Test Successful Order Placement Funtionalities with performance_glitch_user","",""
"","6391","should reset app state again and logout","","Mon Jun 23 20:04:04 BDT 2025","passed","Mon Jun 23 20:04:11 BDT 2025","","Test Successful Order Placement Funtionalities with standard_user","",""
"","11539","should login successfully with performance_glitch_user","","Mon Jun 23 20:04:11 BDT 2025","passed","Mon Jun 23 20:04:22 BDT 2025","","Test Successful Order Placement Funtionalities with performance_glitch_user","",""
"","6409","should reset app state from the menu icon ","","Mon Jun 23 20:03:27 BDT 2025","passed","Mon Jun 23 20:03:34 BDT 2025","","Test Successful Order Placement Funtionalities with standard_user","",""
"","6266","should add the first product to cart","","Mon Jun 23 20:04:38 BDT 2025","passed","Mon Jun 23 20:04:44 BDT 2025","","Test Successful Order Placement Funtionalities with performance_glitch_user","",""
"","6372","should reset app state again and logout","","Mon Jun 23 20:05:02 BDT 2025","passed","Mon Jun 23 20:05:09 BDT 2025","","Test Successful Order Placement Funtionalities with performance_glitch_user","",""
"","11373","should show an error message for trying login with locked_out_user","","Mon Jun 23 20:03:09 BDT 2025","passed","Mon Jun 23 20:03:20 BDT 2025","","Test Login with locked_out_user","",""
"","7148","should login successfully with standard_user","","Mon Jun 23 20:03:20 BDT 2025","passed","Mon Jun 23 20:03:27 BDT 2025","","Test Successful Order Placement Funtionalities with standard_user","",""
"","10523","should add three items to cart","","Mon Jun 23 20:03:34 BDT 2025","passed","Mon Jun 23 20:03:44 BDT 2025","","Test Successful Order Placement Funtionalities with standard_user","",""
"","6336","should reset app state from the menu icon ","","Mon Jun 23 20:04:22 BDT 2025","passed","Mon Jun 23 20:04:29 BDT 2025","","Test Successful Order Placement Funtionalities with performance_glitch_user","",""
"","14986","should go to Checkout button and verify the product name and the total price","","Mon Jun 23 20:04:44 BDT 2025","passed","Mon Jun 23 20:04:59 BDT 2025","","Test Successful Order Placement Funtionalities with performance_glitch_user","",""
"","3176","should finish purchase process and verify the successful order message","","Mon Jun 23 20:04:01 BDT 2025","passed","Mon Jun 23 20:04:04 BDT 2025","","Test Successful Order Placement Funtionalities with standard_user","",""
